,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
649,Phalaborwa,-23.943,31.1411,94.28,20,0,8.84,clear sky,Bothabelo Bed and Breakfast
650,Atar,20.5169,-13.0499,88.21,16,0,6.87,clear sky,Oumou Elghoura
652,San Andres,12.5847,-81.7006,84.22,79,75,9.22,broken clouds,Hotel Arena Blanca
653,Padang,-0.9492,100.3543,75.25,88,100,4.47,light rain,Mercure Padang
659,Erzin,36.9559,36.2,84.72,31,3,1.34,clear sky,Artemis Otel
663,Suba,10.8438,121.0102,83.7,83,99,19.48,overcast clouds,Jarnchi Pension House
665,Marsaxlokk,35.8419,14.5431,75.07,88,20,10.36,few clouds,Water's Edge
666,Benguela,-12.5763,13.4055,79.21,70,100,8.84,overcast clouds,Hotel Praia Morena
667,Bodden Town,19.2833,-81.25,77.99,82,40,8.99,scattered clouds,Will T Place
668,Demerval Lobao,-5.3583,-42.6764,78.21,60,82,3.85,broken clouds,Pousada Da Paz
669,Mulki,13.1,74.8,81.68,78,20,0.0,few clouds,Karnire Camping Ground
672,Martapura,-3.4167,114.85,77.09,100,75,2.3,broken clouds,Montana Hotel Syariah
673,Almeirim,-1.5233,-52.5817,89.17,56,100,3.83,overcast clouds,Ricácio Hotel
676,Santa Rosa,14.3122,121.1114,84.18,81,99,8.21,overcast clouds,Erlyn’s Sta Rosa City Home
679,Port-Gentil,-0.7193,8.7815,80.56,89,75,14.97,thunderstorm with light rain,Fengshui Residence
